RELEASE DATE,PUBLISHER,TITLE,PRICE
03/15/17,ABRAMS COMICARTS,Best We Could Do An Illustrated Memoir HC,$24.95
03/15/17,AC COMICS,Men Of Mystery #103,$29.95
03/15/17,ACTION LAB ENTERTAINMENT,Peter David's Artful #4 (Cover A Laura Neubert),$3.99 
03/15/17,ACTION LAB ENTERTAINMENT,Peter David's Artful #4 (Cover B Laura Neubert Concept Sketch),$4.99 
03/15/17,ALBATROSS FUNNYBOOKS,Spookhouse #3,$3.99 
03/15/17,ALTERNATIVE COMICS,Death In Oaxaca #3,$4.99
03/15/17,AMP! COMICS FOR KIDS,Snoopy To The Rescue TP,$9.99 
03/15/17,AMRYL ENTERTAINMENT,Cavewoman Monster Dreams #1 (One Shot)(Cover A Conny Valentina),$3.99 
03/15/17,AMRYL ENTERTAINMENT,Cavewoman Monster Dreams #1 (One Shot)(Cover B Devon Massey),AR
03/15/17,AMRYL ENTERTAINMENT,Cavewoman Monster Dreams #1 (One Shot)(Cover D Budd Root),AR
03/15/17,AMRYL ENTERTAINMENT,Cavewoman Monster Dreams #1 (One Shot)(Cover E Budd Root),AR
03/15/17,AMRYL ENTERTAINMENT,Cavewoman Monster Dreams #1 (One Shot)(Cover F Salem Low),AR
03/15/17,AMRYL ENTERTAINMENT,Cavewoman Monster Dreams #1 (One Shot)(Cover G Andrew Mangum),AR
03/15/17,AMULET BOOKS,Nathan Hale's One Trick Pony GN,$14.95 
03/15/17,ANTARCTIC PRESS,Airship Enterprise #4,$3.99 
03/15/17,ANTARCTIC PRESS,Blade Bunny Volume 2 #4,$3.99 
03/15/17,ANTARCTIC PRESS,Cadmus #1,$3.99 
03/15/17,ANTARCTIC PRESS,Get Gomez #1 (One Shot),$3.99 
03/15/17,ANTARCTIC PRESS,Gold Digger #240,$3.99
03/15/17,ARCHIE COMIC PUBLICATIONS,Archie #18 (Cover A Pete Woods),$3.99 
03/15/17,ARCHIE COMIC PUBLICATIONS,Archie #18 (Cover B Elsa Charretier),$3.99 
03/15/17,ARCHIE COMIC PUBLICATIONS,Archie #18 (Cover C Robert Hack),$3.99 
03/15/17,ARCHIE COMIC PUBLICATIONS,Betty And Veronica Comics Annual Digest #252,$5.99 
03/15/17,ASPEN COMICS,All New Soulfire #1 (Cover A Giuseppe Cafaro),$3.99 
03/15/17,ASPEN COMICS,All New Soulfire #1 (Cover B Tyler Kirkham),$3.99 
03/15/17,ASPEN COMICS,All New Soulfire #1 (Cover C Talent Caldwell),AR
03/15/17,ASPEN COMICS,All New Soulfire #1 (Cover D Michael Turner),AR
03/15/17,AVATAR PRESS,Providence Act 1 HC (Final Printing),$19.99
03/15/17,BIG FINISH,Avengers Steed And Mrs Peel The Comic Strip Adaptations Volume 2 Audio CD,$49.99 
03/15/17,BIG FINISH,Avengers Steed And Mrs Peel Volume 1 Diana Magazine UK 1966-1967 GN,$19.99
03/15/17,BIG FINISH,Doctor Who Absolute Power Audio CD,$24.99 
03/15/17,BIG FINISH,Doctor Who Cold Fusion Audio CD,$28.50 
03/15/17,BIG FINISH,Doctor Who Order Of Daleks Audio CD,$24.99 
03/15/17,BIG FINISH,Doctor Who Original Sin Audio CD,$24.99 
03/15/17,BIG FINISH,Doctor Who Quicksilver Audio CD,$24.99 
03/15/17,BIG FINISH,Doctor Who The Early Adventures The Ravelli Conspiracy Audio CD,$24.99
03/15/17,BIG FINISH,Doctor Who The Early Adventures The Sontarans Audio CD,$24.99 
03/15/17,BIG FINISH,Doctor Who The Third Doctor Adventures Volume 2 Audio CD,$49.99 
03/15/17,BIG FINISH,Doctor Who The War Doctor Volume 3 Agents Of Chaos Audio CD,$49.99 
03/15/17,BIG FINISH,Doctor Who Unit Series Volume 3 Silenced Audio CD,$49.99 
03/15/17,BIG FINISH,Torchwood Outbreak Audio CD,$49.99 
03/15/17,BLACK MASK COMICS,Clandestino #6 (MR),$3.99 
03/15/17,BONGO COMICS,Bart Simpson Suckerpunch GN,$15.99 
